transaction_id,estate,phase,block,unit,floor,saleable_area_sqft,price_hkd,price_per_sqft_hkd_reference_only,sale_date,source_url,notes
165,city_one_shatin,2,16,H,9,327,4400000,13456,2026-01-21,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-2/blockno-16,
166,city_one_shatin,2,16,D,10,327,6000000,18349,2021-12-29,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-2/blockno-16,
167,city_one_shatin,2,16,G,10,327,5280000,16147,2018-01-09,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-2/blockno-16,
168,city_one_shatin,2,16,H,10,327,5960000,18226,2022-02-24,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-2/blockno-16,
169,city_one_shatin,2,16,D,11,327,5700000,17431,2020-06-03,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-2/blockno-16,
170,city_one_shatin,2,16,G,11,327,6110000,18685,2021-07-05,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-2/blockno-16,
171,city_one_shatin,2,16,H,11,327,4100000,12538,2024-07-22,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-2/blockno-16,
172,city_one_shatin,2,16,B,12,451,7300000,16186,2020-06-12,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-2/blockno-16,
173,city_one_shatin,2,16,D,13,327,5200000,15902,2023-02-23,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-2/blockno-16,
174,city_one_shatin,2,16,E,13,451,7150000,15854,2022-02-09,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-2/blockno-16,
