transaction_id,block,floor,saleable_area_sqft,age_at_sale,sale_date,price_hkd,adjusted_price_hkd
458,38,19,304,39,2024-04-12,4450000,4340563
459,38,19,284,35,2020-05-15,5380000,4379857
460,38,19,304,37,2022-06-06,5600000,4614914
461,38,19,304,34,2019-03-26,5090000,4467616
462,38,18,304,37,2022-03-14,5180000,4209701
463,38,17,284,40,2025-08-29,3880000,4131093
464,38,17,304,34,2019-12-02,5550000,4900645
465,38,17,304,39,2024-01-11,4050000,3936665
466,38,16,284,35,2020-10-16,5500000,4540617
467,38,16,284,36,2021-10-25,5000000,4095327
468,38,16,304,40,2025-02-05,3500000,3667945
469,38,16,304,37,2022-02-11,5380000,4300868
470,38,15,284,40,2025-07-10,4130000,4281910
471,38,15,284,41,2026-04-28,4600000,4333026
472,38,15,304,33,2018-11-07,5468000,5285234
473,38,15,304,38,2023-03-08,4880000,4281678
474,38,14,284,38,2023-03-23,4880000,4281678
475,38,14,304,35,2020-04-28,5300000,4488456
476,38,14,284,36,2021-02-10,5300000,4284384
477,38,13,284,38,2023-03-01,4780000,4193938
478,38,13,284,34,2019-03-01,5300000,4651938
479,38,12,284,36,2021-06-01,5450000,4278601
480,38,12,284,40,2025-10-10,4050000,4190382
481,38,12,304,35,2020-05-06,5450000,4436844
482,38,11,284,38,2023-11-17,4168000,4075389
483,38,10,284,34,2019-11-29,5250000,4324102
484,38,10,284,35,2020-02-19,5250000,4489556
485,38,10,304,36,2021-10-22,5730000,4693244
486,38,9,304,37,2022-07-26,5180000,4415980
487,38,9,304,33,2018-01-11,4600000,4358982
488,38,9,284,36,2021-03-15,5380000,4286417
489,38,9,304,33,2018-05-10,5280000,4686845
490,38,8,304,36,2021-02-10,4850000,3920616
491,38,8,284,37,2022-04-29,5220000,4111827
492,38,7,304,35,2020-11-20,5180000,4218702
493,38,7,304,40,2025-07-16,3830000,3970875
494,38,7,284,36,2021-08-11,5540000,4398186
495,38,6,284,37,2022-03-09,5200000,4225954
496,38,6,304,37,2022-09-28,4850000,4207167
497,38,5,304,36,2021-03-30,5280000,4206744
498,38,5,304,35,2020-10-27,5050000,4169112
499,38,4,284,35,2020-09-16,5030000,4107741
500,38,4,304,37,2022-09-29,4350000,3773438
501,38,3,284,38,2023-05-18,4800000,4150520
502,38,3,304,36,2021-05-20,5000000,4018130
503,27,28,688,34,2019-04-04,4800000,4120532
504,27,27,688,35,2020-11-17,9600000,7818445
505,27,27,688,37,2022-06-01,8880000,7317935
506,27,27,688,37,2022-08-04,10280000,8725922
507,27,27,688,38,2023-11-10,2500000,2444451
508,27,25,688,39,2024-10-15,1525000,1525014
509,27,23,688,40,2025-10-31,8100000,8380764
510,27,22,688,35,2020-10-09,9980000,8239157
511,27,22,688,33,2018-02-09,8900000,8253521
512,27,22,688,34,2019-05-16,9700000,8251673
513,27,20,688,35,2020-05-04,9888000,8049819
514,27,19,688,36,2021-09-03,10280000,8364274
515,27,18,688,39,2024-06-12,8200000,8142198
516,27,17,688,40,2025-05-13,8000000,8428398
517,27,16,688,41,2026-07-17,8750000,8750000
518,27,13,688,39,2024-08-23,6900000,7194603
519,27,13,688,39,2024-05-09,7700000,7809234
520,27,10,688,39,2024-10-22,7200000,7200066
521,27,9,688,36,2021-10-26,9980000,8174272
522,27,8,688,40,2025-10-02,6700000,6932237
523,27,7,688,40,2025-03-27,6920000,7454889
524,27,6,688,39,2024-04-30,7000000,6827851
525,27,4,688,39,2024-02-07,6500000,6696654
526,27,3,688,37,2022-09-02,8830000,7659646
527,27,2,688,40,2025-06-20,6600000,6900356
528,27,1,688,41,2026-06-05,7150000,6843900
529,28,28,688,39,2024-05-13,8280000,8397462
530,28,27,688,38,2023-03-27,8650000,7589449
